Course img,Course Name,Course Description,Course Link
https://img-c.udemycdn.com/course/100x100/1258436_2dc3_4.jpg,Komple Uygulamalı Web Geliştirme Eğitimi,"Sıfırdan ileri seviyeye 'Web Geliştirme': Html, Css, Sass, Flexbox, Bootstrap, Javascript, Angular, JQuery, Asp.Net Mvc&Core Mvc",/komple-web-gelistirme-kursu
https://img-c.udemycdn.com/course/100x100/3952174_5d3a.jpg,Php ile Sıfırdan İleri Seviye Web Programlama Kursu,Sıfırdan php dersleri ile dinamik php uygulamaları geliştirebilirsin.,/php-dersleri
https://img-c.udemycdn.com/course/100x100/2463492_8344_3.jpg,Python ile Sıfırdan İleri Seviye Python Programlama,"Sıfırdan İleri Seviye Python Dersleri.Veritabanı,Veri Analizi,Bot Yazımı,Web Geliştirme(Django)",/python-dersleri
https://img-c.udemycdn.com/course/100x100/1662526_fc1c_3.jpg,Sıfırdan İleri Seviye Modern Javascript Dersleri ES7+,"Modern javascript dersleri ile (ES6 & ES7+) Nodejs, Angular, React ve VueJs için sağlam bir temel oluşturun.",/javascript-dersleri
https://img-c.udemycdn.com/course/100x100/3366564_2236_5.jpg,"Sıfırdan Uygulamalı React Geliştirme: Hooks, Redux & Firebase","En popüler frontend kütüphanesi React'i baştan sona uygulamalı projelerle öğren. Hooks, Redux, Webpack, Firebase ve Fazlası.",/react-dersleri
https://img-c.udemycdn.com/course/100x100/2363350_4d3d_5.jpg,Angular Dersleri:Sıfırdan Uygulamalı Projelerle Öğren,En popüler front-end framework'ü Angular 'ı sıfırdan en ileri seviye kadar öğrenin.,/angular-dersleri
https://img-c.udemycdn.com/course/100x100/1440660_b7a4_3.jpg,Asp.Net Core Mvc ile Sıfırdan İleri Seviye Web Programlama,Asp.net core dersleri ile sıfırdan ileri seviyeye uygulamalı projelerle dinamik web uygulamaları geliştirebilirsiniz.,/asp-net-core-dersleri
https://img-c.udemycdn.com/course/100x100/2349954_d803_2.jpg,E-Ticaret Kursu: Katmanlı Mimari ile Core Mvc Dersleri,Baştan Sona Core Mvc Dersleri ile Kendi E-Ticaret Siteni Mimari Bakış Açısıyla Hazırla.,/katmanli-mimari-eticaret-kursu-asp-net-core-mvc
https://img-c.udemycdn.com/course/100x100/3118920_55f8_3.jpg,.Net Core Web Api & Angular ile Proje Geliştirme Kursu,Sıfırdan asp.net core web api ve angular 9 kullanarak baştan sona proje geliştiyoruz.,/aspnet-core-web-api-angular-dersleri
https://img-c.udemycdn.com/course/100x100/2624596_8d26.jpg,Mobil Uygulama Kursu: Xamarin ile Android ve IOS Geliştirme,C# programlama yeteneğini Xamarin ile birleştirerek Cross Platform Native Android ve IOS uygulaması geliştirebilirsin.,/xamarin-dersleri
https://img-c.udemycdn.com/course/100x100/2907528_f51f_2.jpg,Sıfırdan Uygulamalı SQL Veri Tabanı Dersleri: MySQL & MsSQL,En temelden başlayarak sql veri tabanı tasarımını profesyonel düzeyde öğrenerek etkin sql sorguları yazabilirsin.,/sql-dersleri
https://img-c.udemycdn.com/course/100x100/3080074_fc14_2.jpg,Bootstrap 5 ile Premium Web Tasarım Proje Geliştirme Kursu,Bootstrap 5 kütüphanesini baştan sona öğrenerek kısa zamanda premium web tasarımlarını kolaylıkla yapabilirsin.,/bootstrap-dersleri
https://img-c.udemycdn.com/course/100x100/1397898_cbbb_3.jpg,C# Kursu: Yeni Başlayanlar için C# Programlama Dersleri,Sıfırdan programlama mantığı dahil bilmeniz gereken en temel C# programlama derslerini kısa zamanda öğrenin!,/csharp-dersleri
https://img-c.udemycdn.com/course/100x100/1685804_4b1a_2.jpg,Entity Framework Core Kursu: Baştan Sona Uygulamalı Projeler,Entity Framework Core'un tüm detaylarını asp.net core mvc projeleriyle kısa zamanda öğrenin.,/entity-framework-core-dersleri
https://img-c.udemycdn.com/course/100x100/1944162_74f2_2.jpg,Nodejs Dersleri: Baştan Sona FullStack Web Geliştirme,"Sıfırdan ileri seviyeye 'Web Geliştirme': Front-end (HTML, CSS, Javascript,Bootstrap) & Back-end (NodeJs)",/nodejs-dersleri
